Original Title,Spotify Title,Spotify Artist
Taylor Swift - Wildest Dreams,Wildest Dreams (Taylor's Version)
Taylor Swift - You Belong With Me,You Belong with Me - Taylor Swift
Taylor Swift - champagne problems,champagne problems (Originally Performed by Taylor Swift) - Piano Karaoke Version
invisible string,invisible string
(Don't Fear) The Reaper - Blue Oyster Cult,Don’t Fear The Reaper - Blue Oyster Cult cover
Baba O'riley,Baba O'Riley
Breathe,Don't Wanna Breathe
Burning Down the House,Burning Down the House
Californication,Californication
Come Together,Come Together - Remastered 2009
Comfortably Numb,Comfortably Numb
Cream - Sunshine Of Your Love,Sunshine Of Your Love - Cream Cover
David Bowie - Starman,Starman - (Tribute to David Bowie)
Dream On,Walking On A Dream
Everybody Hurts,Everybody Hurts
Free Bird,Free Bird
Hooked on a Feeling,Hooked On A Feeling
House Of The Rising Sun,House Of The Rising Sun
In The End - Linkin Park,In The End - Linkin Park
Jefferson Airplane - White Rabbit,White Rabbit (Originally Performed By Jefferson Airplane) - Karaoke Version
"Lawyers, Guns and Money","Lawyers, Guns and Money - 2007 Remaster"
Live And Let Die,Live And Let Die
Mary Jane's Last Dance,Mary Jane's Last Dance
Metallica - Nothing else matters,Color Theory - Nothing Else Matters (Metallica)
Moonage Daydream,Moonage Daydream - 2012 Remaster
Once In A Lifetime,Once in a Lifetime - 2005 Remaster
"Paint It, Black","Paint It, Black"
Psycho Killer,Psycho Killer - 2005 Remaster
Something In The Way - Nirvana,Something In The Way
Space Oddity,Space Oddity - 2015 Remaster
Sympathy For The Devil - The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition
Teardrop,Teardrops On My Guitar - Radio Single Remix
The Cranberries - Zombie,Zombie - Live From The Feile Festival/1994
The Jimi Hendrix Experience - All Along The Watcht,All Along The Watchtower - previously unreleased alternate mix
Time,Out of Time
We Can Work it Out,We Can Work It Out
Wish You Were Here,Wish You Were Here
Amish Paradise,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
Ebay - Weird Al Yankovic,Ebay (In The Style Of Weird Al Yankovic)
Fat,Father Stretch My Hands Pt. 1
Foil,Foil
Handy,Handy Man
Lame Claim to Fame,Lame Claim to Fame
Party in the CIA,"Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)"
Smells Like Nirvana,Smells Like Teen Spirit
Tacky,Tacky
The Saga Begins,"The Saga Begins (Lyrical Adaption of ""American Pie"")"
White and Nerdy,"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)"
Word Crimes,Word Crimes
Yoda - Weird Al,Yoda (Originally Performed By Weird Al Yankovich) - Karaoke Version
Album,Original Title,Spotify Title,Spotify Artist
"Allegri - Miserere mei, Deus","Allegri: Miserere - 01. Miserere Mei, Deus"
Ave Maria - Schubert,"Ave Maria, D.839 - Arr. Hazell"
